13:38:21-Joeyramone-2017-06-19-13:41:04.png$[{"faceRectangle":{"height":219,"left":198,"top":29,"width":219},"scores":{"anger":0.000431693479,"contempt":0.0137798823,"disgust":0.000340033963,"fear":2.651476E-05,"happiness":0.008301275,"neutral":0.9644638,"sadness":0.0123070432,"surprise":0.000349768117}}]
13:38:25-Joeyramone-2017-06-19-13:41:09.png$[{"faceRectangle":{"height":257,"left":230,"top":29,"width":257},"scores":{"anger":0.0009872331,"contempt":0.002248423,"disgust":0.001057342,"fear":0.000255026069,"happiness":0.000241089816,"neutral":0.8731812,"sadness":0.12073268,"surprise":0.00129698822}}]
13:38:27-Joeyramone-2017-06-19-13:41:18.png$[{"faceRectangle":{"height":233,"left":232,"top":37,"width":233},"scores":{"anger":0.000467068079,"contempt":0.00268178456,"disgust":0.00016267637,"fear":1.21631092E-05,"happiness":0.00111351628,"neutral":0.9892921,"sadness":0.006118385,"surprise":0.0001522974}}]
13:38:29-Joeyramone-2017-06-19-13:39:56.png$[{"faceRectangle":{"height":243,"left":222,"top":31,"width":243},"scores":{"anger":0.00151701772,"contempt":0.0046547614,"disgust":0.00130908622,"fear":0.00027624995,"happiness":0.00124964165,"neutral":0.9435125,"sadness":0.0458784141,"surprise":0.00160230382}}]
13:38:31-Joeyramone-2017-06-19-13:41:28.png$[{"faceRectangle":{"height":214,"left":196,"top":48,"width":214},"scores":{"anger":7.74299551E-05,"contempt":0.00175971142,"disgust":0.000403029233,"fear":2.5494126E-05,"happiness":0.000819100766,"neutral":0.956448,"sadness":0.0394640379,"surprise":0.001003166}}]
13:38:33-Joeyramone-2017-06-19-13:41:31.png$[{"faceRectangle":{"height":227,"left":230,"top":41,"width":227},"scores":{"anger":0.00116590457,"contempt":0.00239562779,"disgust":0.000177533788,"fear":0.0001222948,"happiness":0.0006532913,"neutral":0.9893579,"sadness":0.004837474,"surprise":0.001290012}}]
13:38:35-Joeyramone-2017-06-19-13:41:41.png$[{"faceRectangle":{"height":224,"left":217,"top":41,"width":224},"scores":{"anger":0.0007310668,"contempt":0.00172772491,"disgust":0.000116220013,"fear":5.313141E-05,"happiness":0.000416203053,"neutral":0.9919092,"sadness":0.004378811,"surprise":0.0006676122}}]
13:38:37-Joeyramone-2017-06-19-13:42:12.png$[{"faceRectangle":{"height":220,"left":190,"top":44,"width":220},"scores":{"anger":0.000183612574,"contempt":0.001808919,"disgust":0.0003141452,"fear":3.85347375E-05,"happiness":0.000615380937,"neutral":0.948269665,"sadness":0.04812731,"surprise":0.00064243126}}]
13:38:39-Joeyramone-2017-06-19-13:39:58.png$[{"faceRectangle":{"height":223,"left":218,"top":34,"width":223},"scores":{"anger":0.002957086,"contempt":0.00559164258,"disgust":0.0009087066,"fear":0.00153260992,"happiness":0.00221122848,"neutral":0.957327843,"sadness":0.0232816543,"surprise":0.006189207}}]
13:38:41-Joeyramone-2017-06-19-13:51:04.png$[{"faceRectangle":{"height":212,"left":199,"top":54,"width":212},"scores":{"anger":0.00025381404,"contempt":0.00142829714,"disgust":0.0006597854,"fear":9.079082E-05,"happiness":0.00045760264,"neutral":0.899182856,"sadness":0.09669782,"surprise":0.00122900959}}]
13:38:43-Joeyramone-2017-06-19-13:41:45.png$[{"faceRectangle":{"height":222,"left":220,"top":36,"width":222},"scores":{"anger":0.00040088463,"contempt":0.00165789772,"disgust":0.000263875641,"fear":8.091156E-05,"happiness":0.0004967156,"neutral":0.973731756,"sadness":0.02240883,"surprise":0.0009591022}}]
13:38:45-Joeyramone-2017-06-19-13:42:42.png$[{"faceRectangle":{"height":212,"left":217,"top":43,"width":212},"scores":{"anger":0.000398903037,"contempt":0.00139563449,"disgust":0.000634954,"fear":0.000123930819,"happiness":0.001119272,"neutral":0.928060055,"sadness":0.06646068,"surprise":0.00180656079}}]
13:38:47-Joeyramone-2017-06-19-13:40:02.png$[{"faceRectangle":{"height":226,"left":222,"top":37,"width":226},"scores":{"anger":0.00012339266,"contempt":0.000597411359,"disgust":1.17584941E-05,"fear":1.37386587E-05,"happiness":0.000104818515,"neutral":0.99750483,"sadness":0.00114415586,"surprise":0.00049989525}}]
13:38:49-Joeyramone-2017-06-19-13:45:50.png$[{"faceRectangle":{"height":223,"left":225,"top":41,"width":223},"scores":{"anger":0.000126366736,"contempt":0.002078344,"disgust":4.99260132E-05,"fear":2.59504623E-06,"happiness":0.00181592687,"neutral":0.9946821,"sadness":0.00110120734,"surprise":0.000143583631}}]
13:38:53-Joeyramone-2017-06-19-13:42:22.png$[{"faceRectangle":{"height":204,"left":223,"top":54,"width":204},"scores":{"anger":0.00061548315,"contempt":0.00241320278,"disgust":0.000326537265,"fear":3.61780221E-05,"happiness":0.00191768608,"neutral":0.98791486,"sadness":0.00574822957,"surprise":0.00102780142}}]
13:38:55-Joeyramone-2017-06-19-13:42:24.png$[{"faceRectangle":{"height":221,"left":188,"top":53,"width":221},"scores":{"anger":0.00020630582,"contempt":0.002364258,"disgust":0.000349204,"fear":4.26506631E-05,"happiness":0.000613719,"neutral":0.9566183,"sadness":0.0392149873,"surprise":0.000590560259}}]
13:38:57-Joeyramone-2017-06-19-13:40:07.png$[{"faceRectangle":{"height":219,"left":195,"top":53,"width":219},"scores":{"anger":0.000214183223,"contempt":0.00346698985,"disgust":0.000486573757,"fear":8.222294E-05,"happiness":0.00121167989,"neutral":0.9324735,"sadness":0.0612963,"surprise":0.0007685661}}]
13:38:59-Joeyramone-2017-06-19-13:42:34.png$[{"faceRectangle":{"height":205,"left":230,"top":58,"width":205},"scores":{"anger":0.0005891702,"contempt":0.00149886485,"disgust":8.42628E-05,"fear":4.52139975E-05,"happiness":0.000222822928,"neutral":0.991922557,"sadness":0.004696184,"surprise":0.0009409312}}]
13:39:01-Joeyramone-2017-06-19-13:42:55.png$[{"faceRectangle":{"height":216,"left":234,"top":44,"width":216},"scores":{"anger":0.000867307361,"contempt":0.00236186152,"disgust":0.000322345644,"fear":6.569742E-05,"happiness":0.000424632017,"neutral":0.983810663,"sadness":0.0109734423,"surprise":0.00117402873}}]
13:39:03-Joeyramone-2017-06-19-13:43:15.png$[{"faceRectangle":{"height":236,"left":206,"top":35,"width":236},"scores":{"anger":0.0007180972,"contempt":0.00454626838,"disgust":0.00041350504,"fear":0.000148268868,"happiness":0.0021375136,"neutral":0.9787021,"sadness":0.01164232,"surprise":0.00169191894}}]
13:39:05-Joeyramone-2017-06-19-13:42:43.png$[{"faceRectangle":{"height":239,"left":229,"top":31,"width":239},"scores":{"anger":0.00376591459,"contempt":0.00539818034,"disgust":0.00116306439,"fear":0.00089561753,"happiness":0.00163565227,"neutral":0.957188547,"sadness":0.0253104046,"surprise":0.00464260438}}]
