3/6/2017-10:44:11;1;Brendo ;1496501051913;click;questionario.html#;C:23:H:1-2 close;button;1151;188
3/6/2017-10:44:14;1;Brendo ;1496501055009;click;questionario.html#;Q:23:H:1-2:A;input;224;348
3/6/2017-10:44:21;1;Brendo ;1496501061237;click;questionario.html#;Q:24:H:1-2 list-group-item;a;102;590
3/6/2017-10:45:20;1;Brendo ;1496501120923;click;questionario.html#;;label;453;716
3/6/2017-10:45:20;1;Brendo ;1496501120939;click;questionario.html#;Q:24:H:1-2:C;input;453;716
3/6/2017-10:45:36;1;Brendo ;1496501136646;click;questionario.html#;Q:25:H:1-2 list-group-item;a;100;564
3/6/2017-10:47:7;1;Brendo ;1496501228086;click;questionario.html#;Q:25:H:1-2:E;input;221;480
3/6/2017-10:47:11;1;Brendo ;1496501231963;click;questionario.html#;Q:26:H:1-2 list-group-item;a;98;676
3/6/2017-10:47:49;1;Brendo ;1496501269234;click;questionario.html#;Q:26:H:1-2:A;input;225;366
3/6/2017-10:48:1;1;Brendo ;1496501281426;click;questionario.html#;Q:27:H:1-2 list-group-item;a;115;650
3/6/2017-10:48:52;1;Brendo ;1496501332469;click;questionario.html#;Q:27:H:1-2:C;input;224;430
3/6/2017-10:49:11;1;Brendo ;1496501351240;click;questionario.html#;Q:28:H:1-2 list-group-item;a;106;632
3/6/2017-10:50:9;1;Brendo ;1496501409907;click;questionario.html#;;label;224;406
3/6/2017-10:50:9;1;Brendo ;1496501409922;click;questionario.html#;Q:28:H:1-2:B;input;224;406
3/6/2017-10:50:17;1;Brendo ;1496501417731;click;questionario.html#;Q:29:H:1-2 list-group-item;a;114;447
3/6/2017-10:52:27;1;Brendo ;1496501547847;click;questionario.html#;Q:29:H:1-2:D;input;222;438
3/6/2017-10:52:33;1;Brendo ;1496501553724;click;questionario.html#;Q:30:H:1-2 list-group-item;a;73;592
3/6/2017-10:54:12;1;Brendo ;1496501652835;click;questionario.html#;D:30:H:1-2 btn btn-info btn-lg;button;302;482
3/6/2017-10:54:22;1;Brendo ;1496501662900;click;questionario.html#;modal-title;h4;998;197
3/6/2017-10:54:23;1;Brendo ;1496501663366;click;questionario.html#;D:30:H:1-2 close;button;998;193
3/6/2017-10:54:25;1;Brendo ;1496501666040;click;questionario.html#;;label;234;391
3/6/2017-10:54:25;1;Brendo ;1496501666054;click;questionario.html#;Q:30:H:1-2:C;input;234;391
3/6/2017-10:54:31;1;Brendo ;1496501671163;click;questionario.html#;Q:31:H:1-2 list-group-item;a;73;467
3/6/2017-10:55:57;1;Brendo ;1496501757254;click;questionario.html#;Q:31:H:1-2:A;input;223;427
3/6/2017-10:56:6;1;Brendo ;1496501767053;click;questionario.html#;Q:32:H:1-2 list-group-item;a;139;634
3/6/2017-10:57:0;1;Brendo ;1496501820344;click;questionario.html#;Q:32:H:1-2:B;input;224;567
3/6/2017-10:57:1;1;Brendo ;1496501821399;click;questionario.html#;D:32:H:1-2 btn btn-info btn-lg;button;274;670
3/6/2017-10:57:23;1;Brendo ;1496501843259;click;questionario.html#;D:32:H:1-2 close;button;997;186
3/6/2017-10:57:38;1;Brendo ;1496501858829;click;questionario.html#;;label;611;615
3/6/2017-10:57:38;1;Brendo ;1496501858843;click;questionario.html#;Q:32:H:1-2:D;input;611;615
3/6/2017-10:57:49;1;Brendo ;1496501869908;click;questionario.html#;Q:33:H:1-2 list-group-item;a;128;649
3/6/2017-10:59:51;1;Brendo ;1496501991868;click;questionario.html#;;label;236;389
3/6/2017-10:59:51;1;Brendo ;1496501991884;click;questionario.html#;Q:33:H:1-2:B;input;236;389
3/6/2017-11:0:18;1;Brendo ;1496502018628;click;questionario.html#;Q:34:H:1-2 list-group-item;a;127;553
3/6/2017-11:1:40;1;Brendo ;1496502099095;click;questionario.html#;Q:34:H:1-2:A;input;222;382
3/6/2017-11:1:43;1;Brendo ;1496502103738;click;questionario.html#;Q:1:H:1-1 list-group-item;a;123;217
3/6/2017-11:1:44;1;Brendo ;1496502104601;click;questionario.html#;Q:2:H:1-1 list-group-item;a;103;242
3/6/2017-11:1:45;1;Brendo ;1496502105195;click;questionario.html#;Q:3:H:1-1 list-group-item;a;88;281
3/6/2017-11:1:45;1;Brendo ;1496502105897;click;questionario.html#;Q:5:H:1-1 list-group-item;a;97;365
3/6/2017-11:1:46;1;Brendo ;1496502106702;click;questionario.html#;Q:6:H:1-1 list-group-item;a;104;413
3/6/2017-11:1:47;1;Brendo ;1496502107187;click;questionario.html#;Q:7:H:1-1 list-group-item;a;108;470
3/6/2017-11:1:49;1;Brendo ;1496502109482;click;questionario.html#;Q:13:H:1-2 list-group-item;a;71;533
3/6/2017-11:1:50;1;Brendo ;1496502110357;click;questionario.html#;Q:10:H:1-2 list-group-item;a;71;559
3/6/2017-11:1:51;1;Brendo ;1496502111389;click;questionario.html#;Q:11:H:1-2 list-group-item;a;89;627
3/6/2017-11:1:52;1;Brendo ;1496502112257;click;questionario.html#;Q:12:H:1-2 list-group-item;a;134;672
3/6/2017-11:1:53;1;Brendo ;1496502113983;click;questionario.html#;Q:13:H:1-2 list-group-item;a;102;579
3/6/2017-11:1:54;1;Brendo ;1496502114635;click;questionario.html#;Q:11:H:1-2 list-group-item;a;120;609
3/6/2017-11:1:55;1;Brendo ;1496502116002;click;questionario.html#;Q:14:H:1-2 list-group-item;a;138;748
3/6/2017-11:1:58;1;Brendo ;1496502118782;click;questionario.html#;Q:15:H:1-2 list-group-item;a;109;619
3/6/2017-11:1:59;1;Brendo ;1496502119395;click;questionario.html#;Q:12:H:1-2 list-group-item;a;105;668
3/6/2017-11:2:0;1;Brendo ;1496502120402;click;questionario.html#;Q:13:H:1-2 list-group-item;a;117;710
3/6/2017-11:2:2;1;Brendo ;1496502122164;click;questionario.html#;Q:14:H:1-2 list-group-item;a;121;638
3/6/2017-11:2:4;1;Brendo ;1496502124347;click;questionario.html#;Q:18:H:1-2 list-group-item;a;109;557
3/6/2017-11:2:7;1;Brendo ;1496502127207;click;questionario.html#;Q:19:H:1-2 list-group-item;a;94;604
3/6/2017-11:2:13;1;Brendo ;1496502133246;click;questionario.html#;Q:34:H:1-2 list-group-item;a;124;604
3/6/2017-11:2:18;1;Brendo ;1496502138926;click;questionario.html#;Q:35:H:1-2 list-group-item;a;112;586
3/6/2017-11:5:4;1;Brendo ;1496502304552;click;questionario.html#;Q:35:H:1-2:B;input;225;759
3/6/2017-11:5:9;1;Brendo ;1496502309890;click;questionario.html#;Q:36:H:1-2 list-group-item;a;125;732
3/6/2017-11:6:8;1;Brendo ;1496502368429;click;questionario.html#;Q:36:H:1-2:B;input;221;325
3/6/2017-11:6:17;1;Brendo ;1496502377656;click;questionario.html#;Q:37:H:1-2 list-group-item;a;113;674
3/6/2017-11:7:19;1;Brendo ;1496502439915;click;questionario.html#;D:37:H:1-2 btn btn-info btn-lg;button;291;601
3/6/2017-11:7:35;1;Brendo ;1496502455453;click;questionario.html#;D:37:H:1-2 close;button;997;185
3/6/2017-11:8:11;1;Brendo ;1496502491960;click;questionario.html#;Q:37:H:1-2:B;input;225;348
3/6/2017-11:8:16;1;Brendo ;1496502496823;click;questionario.html#;Q:38:H:1-2 list-group-item;a;145;635
3/6/2017-11:9:50;1;Brendo ;1496502590109;click;questionario.html#;D:38:H:1-2 btn btn-info btn-lg;button;289;516
3/6/2017-11:10:4;1;Brendo ;1496502604557;click;questionario.html#;D:38:H:1-2 btn btn-default ;button;975;374
3/6/2017-11:10:18;1;Brendo ;1496502618955;click;questionario.html#;;label;383;412
3/6/2017-11:10:18;1;Brendo ;1496502618968;click;questionario.html#;Q:38:H:1-2:C;input;383;412
3/6/2017-11:10:24;1;Brendo ;1496502624645;click;questionario.html#;Q:39:H:1-2 list-group-item;a;130;686
3/6/2017-11:11:53;1;Brendo ;1496502713380;click;questionario.html#;Q:39:H:1-2:B;input;227;451
3/6/2017-11:11:59;1;Brendo ;1496502719316;click;questionario.html#;Q:40:H:1-2 list-group-item;a;99;561
3/6/2017-11:13:14;1;Brendo ;1496502794308;click;questionario.html#;;label;232;511
3/6/2017-11:13:14;1;Brendo ;1496502794324;click;questionario.html#;Q:40:H:1-2:C;input;232;511
1;Brendo ;1496502818398;;questionario.html#;Q:40:H:1-2:C;;;
