photo,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,student
13:45:44-aluno1-2017-06-19-13:48:33.png,0.113005333,0.8813165,0.000161141565,5.622685e-05,0.000232183753,0.00158118352,0.00014613595,0.00350132445,aluno1
13:45:46-aluno1-2017-06-19-13:48:39.png,0.165875047,0.423869759,0.00016946689,6.344436e-05,6.378908e-05,0.4041497,0.001674016,0.004134759,aluno1
13:45:48-aluno1-2017-06-19-13:48:37.png,0.248323,0.55451405,0.000231154831,3.79659359e-05,5.64654874e-05,0.195193127,0.00149040041,0.000153835834,aluno1
13:45:52-aluno1-2017-06-19-13:48:45.png,0.0316317454,0.6153817,0.000340429426,3.942516e-05,9.108048e-05,0.349378884,0.002889216,0.0002475168,aluno1
13:46:00-aluno1-2017-06-19-13:48:55.png,0.13431558,0.8120485,0.04630826,0.0005922549,0.0003848037,0.00490250066,0.0006016493,0.000846481358,aluno1
13:47:32-aluno1-2017-06-19-13:51:52.png,0.08362887,0.913351357,0.00110581343,0.000158527633,0.00011384979,0.00100244349,0.000121346748,0.0005178061,aluno1
13:47:36-aluno1-2017-06-19-13:52:13.png,0.20975852,0.7352688,0.004077027,0.0003370062,0.0001845258,0.0494069159,0.0008247017,0.000142521414,aluno1
13:48:02-aluno1-2017-06-19-14:02:59.png,0.0783606246,0.4741528,0.00155406666,0.000815981766,0.000554698,0.4333566,0.009178394,0.00202680775,aluno1
13:48:04-aluno1-2017-06-19-13:52:28.png,0.02886486,0.13406463,0.0007247157,0.00201908266,0.00153494463,0.8236235,0.00761086727,0.0015574164,aluno1
13:54:12-aluno1-2017-06-19-13:57:52.png,0.3204028,0.644513249,0.00207788777,7.68377649e-05,3.399875e-05,0.00197032,0.000154014808,0.0307708587,aluno1
13:54:28-aluno1-2017-06-19-14:00:48.png,0.0266187564,0.351081729,0.001765848,0.00118947309,0.0013459858,0.596978962,0.008007231,0.0130120507,aluno1
13:54:30-aluno1-2017-06-19-13:59:15.png,0.0642627254,0.866844654,0.00622397568,0.0006836459,8.49215357e-05,0.0599246435,0.00130123761,0.00067416986,aluno1
